Country_code_9_digit,Country_code,Country_name,Characteristic,Characteristic_category,NATden_girls_13,NATden_boys_13,NATden_all_13,KS4_LEVEL2_girls_13,KS4_LEVEL2_boys_13,KS4_LEVEL2_all_13,KS4_LEVEL2_EM_girls_13,KS4_LEVEL2_EM_boys_13,KS4_LEVEL2_EM_all_13,KS4_LEVEL1_girls_13,KS4_LEVEL1_boys_13,KS4_LEVEL1_all_13,KS4_LEVEL1_EM_girls_13,KS4_LEVEL1_EM_boys_13,KS4_LEVEL1_EM_all_13,KS4_L2BASICS_girls_13,KS4_L2BASICS_boys_13,KS4_L2BASICS_all_13,KS4_LEVEL2MFL_girls_13,KS4_LEVEL2MFL_boys_13,KS4_LEVEL2MFL_all_13,KS4_GLEVEL2EM_girls_13,KS4_GLEVEL2EM_boys_13,KS4_GLEVEL2EM_all_13,KS4_EBACC_E_girls_13,KS4_EBACC_E_boys_13,KS4_EBACC_E_all_13,KS4_EBACC_girls_13,KS4_EBACC_boys_13,KS4_EBACC_all_13,NATden_PROGENG_girls_13,NATden_PROGENG_boys_13,NATden_PROGENG_all_13,KS4_PROGENG_girls_13,KS4_PROGENG_boys_13,KS4_PROGENG_all_13,NATden_PROGMAT_girls_13,NATden_PROGMAT_boys_13,NATden_PROGMAT_all_13,KS4_PROGMAT_girls_13,KS4_PROGMAT_boys_13,KS4_PROGMAT_all_13,NATden_girls_FSM_13,NATden_boys_FSM_13,NATden_all_FSM_13,KS4_LEVEL2_girls_FSM_13,KS4_LEVEL2_boys_FSM_13,KS4_LEVEL2_all_FSM_13,KS4_LEVEL2_EM_girls_FSM_13,KS4_LEVEL2_EM_boys_FSM_13,KS4_LEVEL2_EM_all_FSM_13,KS4_LEVEL1_girls_FSM_13,KS4_LEVEL1_boys_FSM_13,KS4_LEVEL1_all_FSM_13,KS4_LEVEL1_EM_girls_FSM_13,KS4_LEVEL1_EM_boys_FSM_13,KS4_LEVEL1_EM_all_FSM_13,KS4_L2BASICS_girls_FSM_13,KS4_L2BASICS_boys_FSM_13,KS4_L2BASICS_all_FSM_13,KS4_EBACC_E_girls_FSM_13,KS4_EBACC_E_boys_FSM_13,KS4_EBACC_E_all_FSM_13,KS4_EBACC_girls_FSM_13,KS4_EBACC_boys_FSM_13,KS4_EBACC_all_FSM_13,NATden_PROGENG_girls_FSM_13,NATden_PROGENG_boys_FSM_13,NATden_PROGENG_all_FSM_13,KS4_PROGENG_girls_FSM_13,KS4_PROGENG_boys_FSM_13,KS4_PROGENG_all_FSM_13,NATden_PROGMAT_girls_FSM_13,NATden_PROGMAT_boys_FSM_13,NATden_PROGMAT_all_FSM_13,KS4_PROGMAT_girls_FSM_13,KS4_PROGMAT_boys_FSM_13,KS4_PROGMAT_all_FSM_13,NATden_girls_allother_13,NATden_boys_allother_13,NATden_all_allother_13,KS4_LEVEL2_girls_allother_13,KS4_LEVEL2_boys_allother_13,KS4_LEVEL2_all_allother_13,KS4_LEVEL2_EM_girls_allother_13,KS4_LEVEL2_EM_boys_allother_13,KS4_LEVEL2_EM_all_allother_13,KS4_LEVEL1_girls_allother_13,KS4_LEVEL1_boys_allother_13,KS4_LEVEL1_all_allother_13,KS4_LEVEL1_EM_girls_allother_13,KS4_LEVEL1_EM_boys_allother_13,KS4_LEVEL1_EM_all_allother_13,KS4_L2BASICS_girls_allother_13,KS4_L2BASICS_boys_allother_13,KS4_L2BASICS_all_allother_13,KS4_EBACC_E_girls_allother_13,KS4_EBACC_E_boys_allother_13,KS4_EBACC_E_all_allother_13,KS4_EBACC_girls_allother_13,KS4_EBACC_boys_allother_13,KS4_EBACC_all_allother_13,NATden_PROGENG_girls_allother_13,NATden_PROGENG_boys_allother_13,NATden_PROGENG_all_allother_13,KS4_PROGENG_girls_allother_13,KS4_PROGENG_boys_allother_13,KS4_PROGENG_all_allother_13,NATden_PROGMAT_girls_allother_13,NATden_PROGMAT_boys_allother_13,NATden_PROGMAT_all_allother_13,KS4_PROGMAT_girls_allother_13,KS4_PROGMAT_boys_allother_13,KS4_PROGMAT_all_allother_13
E92000001,921,England,FSM_status,FSM,41852,43330,85182,31008,28051,59059,17781,14503,32284,38471,37661,76132,36966,36037,73003,18068,14916,32984,9805,6228,16033,14315,10632,24947,8877,6650,15527,4738,2770,7508,40245,41315,81560,24569,19794,44363,40339,41615,81954,21651,20525,42176,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,FSM_status,All other pupils,238474,247678,486152,211334,203456,414790,166428,147393,313821,233151,238307,471458,230433,234565,464998,167748,149563,317311,105551,74088,179639,152501,128802,281303,102162,84883,187045,72272,50363,122635,232614,239709,472323,184576,160851,345427,232697,241322,474019,177950,173125,351075,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,Disadvantaged_status,Disadvantaged pupils,75937,78150,154087,57576,52434,110010,34597,28429,63026,70635,69234,139869,68292,66664,134956,35167,29198,64365,18730,11912,30642,28171,21133,49304,17464,13184,30648,9479,5664,15143,73521,74954,148475,46457,37484,83941,73562,75444,149006,41442,39168,80610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,Disadvantaged_status,All other pupils,204389,212858,417247,184766,179073,363839,149612,133467,283079,200987,206734,407721,199107,203938,403045,150649,135281,285930,96626,68404,165030,138645,118301,256946,93575,78349,171924,67531,47469,115000,199338,206070,405408,162688,143161,305849,199474,207493,406967,158159,154482,312641,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,SEN_status,No identified SEN,235567,216663,452230,214408,189672,404080,172623,145609,318232,232772,213741,446513,231189,211981,443170,173984,147660,321644,109004,73786,182790,157565,127425,284990,105423,84644,190067,74299,50535,124834,229835,209763,439598,186880,150535,337415,229932,211138,441070,182049,163691,345740,29124,24474,53598,24110,19348,43458,15692,12020,27712,28156,23583,51739,27701,23208,50909,15918,12322,28240,7980,5772,13752,4400,2510,6910,28052,23288,51340,19455,13968,33423,28097,23478,51575,18024,15151,33175,206443,192189,398632,190298,170324,360622,156931,133589,290520,204616,190158,394774,203488,188773,392261,158066,135338,293404,97443,78872,176315,69899,48025,117924,201783,186475,388258,167425,136567,303992,201835,187660,389495,164025,148540,312565
E92000001,921,England,SEN_status,All SEN pupils,44721,74309,119030,27907,41817,69724,11566,16274,27840,38817,62204,101021,36178,58598,94776,11812,16806,28618,6338,6525,12863,9234,12000,21234,5605,6886,12491,2704,2598,5302,42989,71231,114220,22241,30099,52340,43067,71769,114836,17533,29947,47480,12725,18852,31577,6895,8700,15595,2088,2482,4570,10312,14075,24387,9262,12826,22088,2149,2593,4742,896,878,1774,337,260,597,12190,18024,30214,5111,5824,10935,12239,18134,30373,3627,5373,9000,31996,55457,87453,21012,33117,54129,9478,13792,23270,28505,48129,76634,26916,45772,72688,9663,14213,23876,4709,6008,10717,2367,2338,4705,30799,53207,84006,17130,24275,41405,30828,53635,84463,13906,24574,38480
E92000001,921,England,SEN_status,SEN without a statement,39035,58235,97270,26350,37174,63524,11074,14708,25782,36145,53636,89781,34076,51305,85381,11317,15192,26509,6049,5916,11965,8822,10787,19609,5395,6320,11715,2591,2332,4923,37506,55857,93363,20817,26056,46873,37563,56334,93897,16599,26338,42937,10841,13681,24522,6513,7656,14169,2013,2269,4282,9580,11868,21448,8732,11055,19787,2073,2367,4440,875,805,1680,328,230,558,10373,13071,23444,4767,4970,9737,10413,13187,23600,3443,4652,8095,28194,44554,72748,19837,29518,49355,9061,12439,21500,26565,41768,68333,25344,40250,65594,9244,12825,22069,4520,5515,10035,2263,2102,4365,27133,42786,69919,16050,21086,37136,27150,43147,70297,13156,21686,34842
E92000001,921,England,SEN_status,School Action,25763,37697,63460,18441,25619,44060,7721,10430,18151,24667,35994,60661,23577,34818,58395,7856,10744,18600,4294,4225,8519,6151,7703,13854,3827,4563,8390,1786,1688,3474,24714,36154,60868,14578,18018,32596,24750,36449,61199,11685,18433,30118,6555,7855,14410,4252,4786,9038,1317,1469,2786,6056,7193,13249,5598,6816,12414,1351,1519,2870,588,549,1137,207,157,364,6262,7516,13778,3147,3094,6241,6283,7568,13851,2274,2966,5240,19208,29842,49050,14189,20833,35022,6404,8961,15365,18611,28801,47412,17979,28002,45981,6505,9225,15730,3239,4014,7253,1579,1531,3110,18452,28638,47090,11431,14924,26355,18467,28881,47348,9411,15467,24878
E92000001,921,England,SEN_status,School Action +,13272,20538,33810,7909,11555,19464,3353,4278,7631,11478,17642,29120,10499,16487,26986,3461,4448,7909,1755,1691,3446,2671,3084,5755,1568,1757,3325,805,644,1449,12792,19703,32495,6239,8038,14277,12813,19885,32698,4914,7905,12819,4286,5826,10112,2261,2870,5131,696,800,1496,3524,4675,8199,3134,4239,7373,722,848,1570,287,256,543,121,73,194,4111,5555,9666,1620,1876,3496,4130,5619,9749,1169,1686,2855,8986,14712,23698,5648,8685,14333,2657,3478,6135,7954,12967,20921,7365,12248,19613,2739,3600,6339,1281,1501,2782,684,571,1255,8681,14148,22829,4619,6162,10781,8683,14266,22949,3745,6219,9964
E92000001,921,England,SEN_status,SEN with a statement,5686,16074,21760,1557,4643,6200,492,1566,2058,2672,8568,11240,2102,7293,9395,495,1614,2109,289,609,898,412,1213,1625,210,566,776,113,266,379,5483,15374,20857,1424,4043,5467,5504,15435,20939,934,3609,4543,1884,5171,7055,382,1044,1426,75,213,288,732,2207,2939,530,1771,2301,76,226,302,21,73,94,9,30,39,1817,4953,6770,344,854,1198,1826,4947,6773,184,721,905,3802,10903,14705,1175,3599,4774,417,1353,1770,1940,6361,8301,1572,5522,7094,419,1388,1807,189,493,682,104,236,340,3666,10421,14087,1080,3189,4269,3678,10488,14166,750,2888,3638
