"Characteristic_category","NATden_girls_13","NATden_boys_13","KS4_LEVEL2_girls_13","KS4_LEVEL2_boys_13","KS4_LEVEL2_EM_girls_13","KS4_LEVEL2_EM_boys_13","KS4_LEVEL1_girls_13","KS4_LEVEL1_boys_13","KS4_LEVEL1_EM_girls_13","KS4_LEVEL1_EM_boys_13","KS4_L2BASICS_girls_13","KS4_L2BASICS_boys_13","KS4_LEVEL2MFL_girls_13","KS4_LEVEL2MFL_boys_13","KS4_GLEVEL2EM_girls_13","KS4_GLEVEL2EM_boys_13","KS4_EBACC_E_girls_13","KS4_EBACC_E_boys_13","KS4_EBACC_girls_13","KS4_EBACC_boys_13","NATden_PROGENG_girls_13","NATden_PROGENG_boys_13","KS4_PROGENG_girls_13","KS4_PROGENG_boys_13","NATden_PROGMAT_girls_13","NATden_PROGMAT_boys_13","KS4_PROGMAT_girls_13","KS4_PROGMAT_boys_13","NATden_girls_FSM_13","NATden_boys_FSM_13","KS4_LEVEL2_girls_FSM_13","KS4_LEVEL2_boys_FSM_13","KS4_LEVEL2_EM_girls_FSM_13","KS4_LEVEL2_EM_boys_FSM_13","KS4_LEVEL1_girls_FSM_13","KS4_LEVEL1_boys_FSM_13","KS4_LEVEL1_EM_girls_FSM_13","KS4_LEVEL1_EM_boys_FSM_13","KS4_L2BASICS_girls_FSM_13","KS4_L2BASICS_boys_FSM_13","KS4_EBACC_E_girls_FSM_13","KS4_EBACC_E_boys_FSM_13","KS4_EBACC_girls_FSM_13","KS4_EBACC_boys_FSM_13","NATden_PROGENG_girls_FSM_13","NATden_PROGENG_boys_FSM_13","KS4_PROGENG_girls_FSM_13","KS4_PROGENG_boys_FSM_13","NATden_PROGMAT_girls_FSM_13","NATden_PROGMAT_boys_FSM_13","KS4_PROGMAT_girls_FSM_13","KS4_PROGMAT_boys_FSM_13","NATden_girls_allother_13","NATden_boys_allother_13","KS4_LEVEL2_girls_allother_13","KS4_LEVEL2_boys_allother_13","KS4_LEVEL2_EM_girls_allother_13","KS4_LEVEL2_EM_boys_allother_13","KS4_LEVEL1_girls_allother_13","KS4_LEVEL1_boys_allother_13","KS4_LEVEL1_EM_girls_allother_13","KS4_LEVEL1_EM_boys_allother_13","KS4_L2BASICS_girls_allother_13","KS4_L2BASICS_boys_allother_13","KS4_EBACC_E_girls_allother_13","KS4_EBACC_E_boys_allother_13","KS4_EBACC_girls_allother_13","KS4_EBACC_boys_allother_13","NATden_PROGENG_girls_allother_13","NATden_PROGENG_boys_allother_13","KS4_PROGENG_girls_allother_13","KS4_PROGENG_boys_allother_13","NATden_PROGMAT_girls_allother_13","NATden_PROGMAT_boys_allother_13","KS4_PROGMAT_girls_allother_13","KS4_PROGMAT_boys_allother_13"
"Disadvantaged",75937,78150,57576,52434,34597,28429,70635,69234,68292,66664,35167,29198,18730,11912,28171,21133,17464,13184,9479,5664,73521,74954,46457,37484,73562,75444,41442,39168,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Not disadvantaged",204389,212858,184766,179073,149612,133467,200987,206734,199107,203938,150649,135281,96626,68404,138645,118301,93575,78349,67531,47469,199338,206070,162688,143161,199474,207493,158159,154482,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
