"Characteristic_category","NATden_girls_13","NATden_boys_13","KS4_LEVEL2_girls_13","KS4_LEVEL2_boys_13","KS4_LEVEL2_EM_girls_13","KS4_LEVEL2_EM_boys_13","KS4_LEVEL1_girls_13","KS4_LEVEL1_boys_13","KS4_LEVEL1_EM_girls_13","KS4_LEVEL1_EM_boys_13","KS4_L2BASICS_girls_13","KS4_L2BASICS_boys_13","KS4_LEVEL2MFL_girls_13","KS4_LEVEL2MFL_boys_13","KS4_GLEVEL2EM_girls_13","KS4_GLEVEL2EM_boys_13","KS4_EBACC_E_girls_13","KS4_EBACC_E_boys_13","KS4_EBACC_girls_13","KS4_EBACC_boys_13","NATden_PROGENG_girls_13","NATden_PROGENG_boys_13","KS4_PROGENG_girls_13","KS4_PROGENG_boys_13","NATden_PROGMAT_girls_13","NATden_PROGMAT_boys_13","KS4_PROGMAT_girls_13","KS4_PROGMAT_boys_13","NATden_girls_FSM_13","NATden_boys_FSM_13","KS4_LEVEL2_girls_FSM_13","KS4_LEVEL2_boys_FSM_13","KS4_LEVEL2_EM_girls_FSM_13","KS4_LEVEL2_EM_boys_FSM_13","KS4_LEVEL1_girls_FSM_13","KS4_LEVEL1_boys_FSM_13","KS4_LEVEL1_EM_girls_FSM_13","KS4_LEVEL1_EM_boys_FSM_13","KS4_L2BASICS_girls_FSM_13","KS4_L2BASICS_boys_FSM_13","KS4_EBACC_E_girls_FSM_13","KS4_EBACC_E_boys_FSM_13","KS4_EBACC_girls_FSM_13","KS4_EBACC_boys_FSM_13","NATden_PROGENG_girls_FSM_13","NATden_PROGENG_boys_FSM_13","KS4_PROGENG_girls_FSM_13","KS4_PROGENG_boys_FSM_13","NATden_PROGMAT_girls_FSM_13","NATden_PROGMAT_boys_FSM_13","KS4_PROGMAT_girls_FSM_13","KS4_PROGMAT_boys_FSM_13","NATden_girls_allother_13","NATden_boys_allother_13","KS4_LEVEL2_girls_allother_13","KS4_LEVEL2_boys_allother_13","KS4_LEVEL2_EM_girls_allother_13","KS4_LEVEL2_EM_boys_allother_13","KS4_LEVEL1_girls_allother_13","KS4_LEVEL1_boys_allother_13","KS4_LEVEL1_EM_girls_allother_13","KS4_LEVEL1_EM_boys_allother_13","KS4_L2BASICS_girls_allother_13","KS4_L2BASICS_boys_allother_13","KS4_EBACC_E_girls_allother_13","KS4_EBACC_E_boys_allother_13","KS4_EBACC_girls_allother_13","KS4_EBACC_boys_allother_13","NATden_PROGENG_girls_allother_13","NATden_PROGENG_boys_allother_13","KS4_PROGENG_girls_allother_13","KS4_PROGENG_boys_allother_13","NATden_PROGMAT_girls_allother_13","NATden_PROGMAT_boys_allother_13","KS4_PROGMAT_girls_allother_13","KS4_PROGMAT_boys_allother_13"
"Eligible",41852,43330,31008,28051,17781,14503,38471,37661,36966,36037,18068,14916,9805,6228,14315,10632,8877,6650,4738,2770,40245,41315,24569,19794,40339,41615,21651,20525,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Not eligible",238474,247678,211334,203456,166428,147393,233151,238307,230433,234565,167748,149563,105551,74088,152501,128802,102162,84883,72272,50363,232614,239709,184576,160851,232697,241322,177950,173125,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
