"Region_code_9_digit","Region_code","Region_name","IDACI_decile","Rurality","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000001","A","North East","0-10% most deprived","Urban","x","x","x","x","x","x","x","x"
"E12000001","A","North East","0-10% most deprived","Rural","x","x","x","x","x","x","x","x"
"E12000003","D","Yorkshire and the Humber","40-50%","Rural","1087","906","653","1064","1050","656","322","214"
"E12000003","D","Yorkshire and the Humber","50-60%","Urban","3705","3247","2376","3613","3566","2404","1183","747"
"E12000003","D","Yorkshire and the Humber","50-60%","Rural","1175","1025","767","1153","1143","772","406","265"
"E12000003","D","Yorkshire and the Humber","60-70%","Urban","3567","3169","2415","3487","3452","2432","1346","909"
"E12000003","D","Yorkshire and the Humber","60-70%","Rural","1996","1724","1320","1966","1944","1333","832","557"
"E12000003","D","Yorkshire and the Humber","70-80%","Urban","3308","3024","2390","3253","3234","2416","1319","899"
"E12000003","D","Yorkshire and the Humber","70-80%","Rural","2180","1934","1533","2143","2127","1545","914","625"
"E12000003","D","Yorkshire and the Humber","80-90%","Urban","3865","3565","2926","3797","3769","2942","1707","1193"
"E12000003","D","Yorkshire and the Humber","80-90%","Rural","1891","1655","1370","1852","1836","1379","897","648"
"E12000003","D","Yorkshire and the Humber","90-100% least deprived","Urban","3944","3648","3098","3894","3874","3128","2072","1508"
"E12000003","D","Yorkshire and the Humber","90-100% least deprived","Rural","1755","1572","1338","1725","1709","1342","896","646"
"E12000004","E","East Midlands","0-10% most deprived","Urban","3969","2984","1599","3621","3494","1632","742","363"
"E12000004","E","East Midlands","0-10% most deprived","Rural","97","68","35","89","85","35","19","10"
"E12000004","E","East Midlands","10-20%","Urban","4588","3459","2018","4230","4108","2051","1033","493"
"E12000004","E","East Midlands","10-20%","Rural","258","195","117","239","236","120","65","34"
"E12000004","E","East Midlands","20-30%","Urban","4020","3076","1964","3782","3689","1991","1032","582"
"E12000004","E","East Midlands","20-30%","Rural","465","385","222","440","431","222","99","65"
"E12000004","E","East Midlands","30-40%","Urban","3892","3074","2027","3682","3624","2055","1116","596"
"E12000004","E","East Midlands","30-40%","Rural","989","791","529","948","934","541","350","177"
"E12000004","E","East Midlands","40-50%","Urban","3568","2957","2080","3407","3360","2111","1187","727"
"E12000004","E","East Midlands","40-50%","Rural","1682","1369","992","1627","1602","1003","604","357"
"E12000004","E","East Midlands","50-60%","Urban","2910","2447","1775","2815","2769","1793","934","559"
"E12000004","E","East Midlands","50-60%","Rural","1868","1572","1128","1819","1797","1145","680","392"
"E12000004","E","East Midlands","60-70%","Urban","2880","2445","1851","2784","2751","1867","1019","620"
"E12000004","E","East Midlands","60-70%","Rural","2286","1947","1489","2226","2208","1498","971","624"
"E12000004","E","East Midlands","70-80%","Urban","3535","3122","2387","3456","3433","2409","1335","875"
"E12000004","E","East Midlands","70-80%","Rural","2455","2107","1681","2397","2375","1698","1071","733"
"E12000004","E","East Midlands","80-90%","Urban","3505","3113","2541","3445","3422","2567","1444","983"
"E12000004","E","East Midlands","80-90%","Rural","2626","2326","1925","2581","2566","1949","1232","838"
"E12000004","E","East Midlands","90-100% least deprived","Urban","2772","2506","2089","2728","2708","2105","1254","915"
"E12000004","E","East Midlands","90-100% least deprived","Rural","1815","1602","1321","1774","1767","1332","810","547"
"E12000005","F","West Midlands","0-10% most deprived","Urban","9930","8212","4710","9396","9102","4748","2217","1096"
"E12000005","F","West Midlands","0-10% most deprived","Rural","0","0","0","0","0","0","0","0"
"E12000005","F","West Midlands","10-20%","Urban","8618","7128","4223","8168","7928","4270","1911","994"
"E12000005","F","West Midlands","10-20%","Rural","60","47","36","57","57","36","21","5"
"E12000005","F","West Midlands","20-30%","Urban","6363","5238","3316","6053","5891","3347","1551","841"
"E12000005","F","West Midlands","20-30%","Rural","219","152","95","205","202","96","57","27"
"E12000005","F","West Midlands","30-40%","Urban","5208","4400","2953","5001","4906","2982","1424","830"
"E12000005","F","West Midlands","30-40%","Rural","582","444","313","558","543","315","163","102"
"E12000005","F","West Midlands","40-50%","Urban","4910","4247","3016","4737","4655","3040","1534","924"
"E12000005","F","West Midlands","40-50%","Rural","714","546","402","682","664","409","263","156"
"E12000005","F","West Midlands","50-60%","Urban","4604","4007","2957","4459","4397","2974","1469","942"
"E12000005","F","West Midlands","50-60%","Rural","1222","1011","778","1177","1161","786","503","319"
"E12000005","F","West Midlands","60-70%","Urban","4093","3666","2792","3990","3931","2808","1424","956"
"E12000005","F","West Midlands","60-70%","Rural","1666","1401","1096","1623","1602","1102","717","443"
"E12000005","F","West Midlands","70-80%","Urban","3775","3392","2609","3696","3659","2631","1474","1009"
"E12000005","F","West Midlands","70-80%","Rural","1685","1448","1162","1649","1640","1170","748","517"
"E12000005","F","West Midlands","80-90%","Urban","3630","3358","2711","3571","3530","2723","1565","1122"
"E12000005","F","West Midlands","80-90%","Rural","1761","1558","1282","1725","1704","1289","818","577"
"E12000005","F","West Midlands","90-100% least deprived","Urban","4058","3738","3173","3984","3955","3194","1916","1375"
"E12000005","F","West Midlands","90-100% least deprived","Rural","1127","996","851","1110","1101","859","531","398"
"E12000006","G","East","0-10% most deprived","Urban","2535","1718","975","2289","2199","1000","483","227"
"E12000006","G","East","0-10% most deprived","Rural","30","20","12","24","24","12","6","4"
"E12000006","G","East","10-20%","Urban","4664","3402","2054","4314","4153","2103","1070","511"
"E12000006","G","East","10-20%","Rural","70","53","40","67","64","40","22","10"
"E12000006","G","East","20-30%","Urban","5479","4121","2597","5114","5001","2648","1377","718"
"E12000006","G","East","20-30%","Rural","500","360","242","470","465","243","109","55"
"E12000006","G","East","30-40%","Urban","5927","4621","3188","5626","5522","3243","1816","1007"
"E12000006","G","East","30-40%","Rural","1208","867","631","1161","1136","645","365","188"
"E12000006","G","East","40-50%","Urban","5347","4222","3015","5107","5018","3062","1629","964"
"E12000006","G","East","40-50%","Rural","2096","1570","1196","1998","1967","1221","636","375"
"E12000006","G","East","50-60%","Urban","4500","3628","2795","4345","4280","2846","1679","1048"
"E12000006","G","East","50-60%","Rural","3306","2489","1904","3168","3130","1939","1192","680"
"E12000006","G","East","60-70%","Urban","4491","3709","2924","4366","4318","2968","1782","1138"
"E12000006","G","East","60-70%","Rural","3800","2999","2419","3660","3613","2464","1512","938"
"E12000006","G","East","70-80%","Urban","4637","3890","3127","4512","4466","3175","1970","1336"
"E12000006","G","East","70-80%","Rural","3726","3025","2435","3616","3576","2469","1626","1065"
"E12000006","G","East","80-90%","Urban","3870","3369","2754","3792","3768","2781","1727","1216"
"E12000006","G","East","80-90%","Rural","2847","2365","1970","2783","2761","2001","1392","937"
"E12000006","G","East","90-100% least deprived","Urban","3886","3465","3038","3818","3799","3068","2237","1680"
"E12000006","G","East","90-100% least deprived","Rural","1586","1382","1174","1553","1547","1187","885","627"
"E12000007","H","London","0-10% most deprived","Urban","22405","18147","x","21436","21004","x","x","x"
"E12000007","H","London","0-10% most deprived","Rural","4","4","x","4","4","x","x","x"
"E12000007","H","London","10-20%","Urban","x","x","x","x","x","x","x","x"
"E12000007","H","London","10-20%","Rural","x","x","x","x","x","x","x","x"
"E12000007","H","London","20-30%","Urban","11031","9260","7104","10630","10432","7192","4627","3062"
"E12000007","H","London","20-30%","Rural","49","43","25","44","44","25","7","4"
"E12000007","H","London","30-40%","Urban","7467","6401","5014","7224","7132","5075","3368","2294"
"E12000007","H","London","30-40%","Rural","0","0","0","0","0","0","0","0"
"E12000007","H","London","40-50%","Urban","5302","4635","3751","x","x","3799","2585","1885"
"E12000007","H","London","40-50%","Rural","38","35","24","x","x","24","11","5"
"E12000007","H","London","50-60%","Urban","3997","3541","2948","3886","3862","2969","2056","x"
"E12000007","H","London","50-60%","Rural","12","12","8","12","12","8","3","x"
"E12000007","H","London","60-70%","Urban","x","x","x","x","x","x","x","x"
"E12000007","H","London","60-70%","Rural","x","x","x","x","x","x","x","x"
"E12000007","H","London","70-80%","Urban","2997","2756","2328","x","2924","2351","1679","1280"
"E12000007","H","London","70-80%","Rural","13","10","8","x","10","8","5","4"
"E12000007","H","London","80-90%","Urban","2675","x","2179","2631","2612","2192","1647","1310"
"E12000007","H","London","80-90%","Rural","19","x","15","19","19","15","8","7"
"E12000007","H","London","90-100% least deprived","Urban","1857","1771","1576","1835","1824","1580","1173","919"
"E12000007","H","London","90-100% least deprived","Rural","0","0","0","0","0","0","0","0"
"E12000008","J","South East","0-10% most deprived","Urban","2890","2148","1227","x","x","1258","x","x"
"E12000008","J","South East","0-10% most deprived","Rural","8","4","3","x","x","3","x","x"
"E12000008","J","South East","10-20%","Urban","5312","3930","2309","x","x","2343","x","492"
"E12000008","J","South East","10-20%","Rural","127","100","54","x","x","54","x","6"
"E12000008","J","South East","20-30%","Urban","7274","5470","3470","6822","6658","3532","1620","851"
"E12000008","J","South East","20-30%","Rural","455","341","206","425","417","210","98","59"
"E12000008","J","South East","30-40%","Urban","8655","6796","4638","8167","8007","4716","2249","1349"
"E12000008","J","South East","30-40%","Rural","1118","814","550","1046","1029","564","263","174"
"E12000008","J","South East","40-50%","Urban","8221","6615","4732","7870","7710","4810","2513","1544"
"E12000008","J","South East","40-50%","Rural","1427","1148","850","1350","1326","860","437","279"
"E12000008","J","South East","50-60%","Urban","7503","6174","4576","7206","7141","4640","2613","1662"
