"Region_code_9_digit","Region_code","Region_name","Rurality","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000001","A","North East","Urban",23470,20600,13829,"22378","21939",13914,7681,4601
"E12000001","A","North East","Rural - town and fringe",3608,3191,2128,"3464","3403",2138,1138,650
"E12000001","A","North East","Rural - village",1134,993,735,"x","x",740,438,290
"E12000001","A","North East","Rural - hamlet and isolated dwelling",573,510,399,"x","x",401,240,149
"E12000002","B","North West","Urban",70789,58891,41717,"67658","66492",42258,24370,15285
"E12000002","B","North West","Rural - town and fringe",4498,3826,2937,"4370","4318",2969,1855,1262
"E12000002","B","North West","Rural - village",2723,2336,1878,"2653","2627",1894,1258,908
"E12000002","B","North West","Rural - hamlet and isolated dwelling",1727,1517,1251,"1687","1673",1258,802,591
"E12000003","D","Yorkshire and the Humber","Urban",46723,39421,27060,"44733","43820",27345,13683,8541
"E12000003","D","Yorkshire and the Humber","Rural - town and fringe",6404,5450,4100,"6250","6138",4125,2358,1560
"E12000003","D","Yorkshire and the Humber","Rural - village",3654,3175,2560,"3577","3550",2580,1549,1109
"E12000003","D","Yorkshire and the Humber","Rural - hamlet and isolated dwelling",1419,1250,985,"1392","1382",990,627,447
"E12000004","E","East Midlands","Urban",35639,29183,20331,"33950","33358",20581,11096,6713
"E12000004","E","East Midlands","Rural - town and fringe",7973,6751,5044,"7734","7667",5106,2959,1854
"E12000004","E","East Midlands","Rural - village",5319,4536,3568,"5192","5134",3602,2425,1587
"E12000004","E","East Midlands","Rural - hamlet and isolated dwelling",1249,1075,827,"1214","1200",835,517,336
"E12000005","F","West Midlands","Urban",55189,47386,32460,"53055","51954",32717,16485,10089
"E12000005","F","West Midlands","Rural - town and fringe",3659,3009,2333,"3534","3483",2351,1435,917
"E12000005","F","West Midlands","Rural - village",3403,2911,2311,"3316","3269",2329,1489,1024
"E12000005","F","West Midlands","Rural - hamlet and isolated dwelling",1974,1683,1371,"1936","1922",1382,897,603
"E12000006","G","East","Urban",45336,36145,26467,"43283","42524",26894,15770,9845
"E12000006","G","East","Rural - town and fringe",9124,7249,5671,"8814","8701",5759,3619,2256
"E12000006","G","East","Rural - village",7706,6064,4867,"7441","7365",4956,3179,2037
"E12000006","G","East","Rural - hamlet and isolated dwelling",2339,1817,1485,"2245","2217",1506,947,586
"E12000007","H","London","Urban",76694,64849,50086,"73998","72843",50717,32893,22142
"E12000007","H","London","Rural - town and fringe",72,67,42,"68","68",43,7,4
"E12000007","H","London","Rural - village",42,35,29,"x","x",29,18,10
"E12000007","H","London","Rural - hamlet and isolated dwelling",29,25,16,"x","x",16,14,8
"E12000008","J","South East","Urban",70424,57776,42977,"67370","66269",43554,24525,16205
"E12000008","J","South East","Rural - town and fringe",8691,7189,5680,"8387","8295",5750,3354,2361
"E12000008","J","South East","Rural - village",6906,5783,4733,"6680","6595",4784,2954,2191
"E12000008","J","South East","Rural - hamlet and isolated dwelling",3015,2597,2136,"2914","2881",2155,1358,995
"E12000009","K","South West","Urban",37111,29518,21406,"35509","34759",21718,12271,7648
"E12000009","K","South West","Rural - town and fringe",8412,6565,5022,"8125","7980",5108,3254,2012
"E12000009","K","South West","Rural - village",7317,5958,4741,"7104","6967",4808,3183,2115
"E12000009","K","South West","Rural - hamlet and isolated dwelling",3267,2725,2195,"3179","3136",2221,1486,1004
