"Region_code_9_digit","Region_code","Region_name","LAD_code_9_digit","LAD_code","LAD_name","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000003","D","Yorkshire and the Humber","E06000011","00FB","East Riding of Yorkshire UA",3641,3047,2252,3544,"3502",2273,1314,828
"E12000003","D","Yorkshire and the Humber","E06000010","00FA","Kingston upon Hull, City of UA",2729,2376,1362,2630,"2558",1370,726,377
"E12000003","D","Yorkshire and the Humber","E06000012","00FC","North East Lincolnshire UA",1915,1663,1133,1813,"1779",1138,550,357
"E12000003","D","Yorkshire and the Humber","E06000013","00FD","North Lincolnshire UA",1897,1702,1113,1848,"1818",1119,669,404
"E12000003","D","Yorkshire and the Humber","E06000014","00FF","York UA",1775,1539,1192,1745,"1730",1199,723,476
"E12000003","D","Yorkshire and the Humber","E07000163","36UB","Craven",612,563,407,605,"601",408,222,176
"E12000003","D","Yorkshire and the Humber","E07000164","36UC","Hambleton",895,680,570,871,"826",578,456,314
"E12000003","D","Yorkshire and the Humber","E07000165","36UD","Harrogate",1662,1506,1224,1631,"1610",1234,820,626
"E12000003","D","Yorkshire and the Humber","E07000166","36UE","Richmondshire",529,418,339,514,"510",342,207,134
"E12000003","D","Yorkshire and the Humber","E07000167","36UF","Ryedale",545,465,371,536,"532",372,237,158
"E12000003","D","Yorkshire and the Humber","E07000168","36UG","Scarborough",1170,954,649,1116,"1103",650,278,202
"E12000003","D","Yorkshire and the Humber","E07000169","36UH","Selby",915,747,557,891,"887",568,274,168
"E12000003","D","Yorkshire and the Humber","E08000016","00CC","Barnsley",2774,2193,1448,2661,"2607",1465,601,345
"E12000003","D","Yorkshire and the Humber","E08000017","00CE","Doncaster",3445,2973,1946,3300,"3217",1963,831,496
"E12000003","D","Yorkshire and the Humber","E08000018","00CF","Rotherham ",3206,2715,2025,3060,"2998",2041,926,596
"E12000003","D","Yorkshire and the Humber","E08000019","00CG","Sheffield",5661,4342,3258,5294,"5180",3336,1781,1083
"E12000003","D","Yorkshire and the Humber","E08000032","00CX","Bradford",6167,5181,3372,5890,"5736",3411,1787,1143
"E12000003","D","Yorkshire and the Humber","E08000033","00CY","Calderdale",2409,2178,1566,2350,"2305",1569,842,565
"E12000003","D","Yorkshire and the Humber","E08000034","00CZ","Kirklees ",4845,4121,3045,4725,"4687",3088,1645,1050
"E12000003","D","Yorkshire and the Humber","E08000035","00DA","Leeds",7644,6599,4401,7318,"7136",4433,2405,1532
"E12000003","D","Yorkshire and the Humber","E08000036","00DB","Wakefield",3764,3334,2475,3610,"3568",2483,923,627
"E12000004","E","East Midlands","E06000015","00FK","Derby UA",2827,2297,1566,2701,"2659",1598,827,568
"E12000004","E","East Midlands","E06000016","00FN","Leicester UA",3933,3102,2123,3699,"3614",2142,1260,759
"E12000004","E","East Midlands","E06000018","00FY","Nottingham UA",3020,2377,1482,2766,"2668",1502,763,420
"E12000004","E","East Midlands","E06000017","00FP","Rutland UA",306,260,209,302,"302",210,156,92
"E12000004","E","East Midlands","E07000032","17UB","Amber Valley",1430,1189,852,1369,"1348",860,424,284
"E12000004","E","East Midlands","E07000033","17UC","Bolsover",885,717,469,861,"852",476,285,159
"E12000004","E","East Midlands","E07000034","17UD","Chesterfield",1151,891,663,1109,"1097",671,403,246
"E12000004","E","East Midlands","E07000035","17UF","Derbyshire Dales",759,623,522,740,"729",527,240,188
"E12000004","E","East Midlands","E07000036","17UG","Erewash",1216,1009,743,1172,"1159",749,343,228
